M2-II exact quadratic checkpoint
mass=1, torus half-length=8
theta_0=2.356194490192
predicted lattice limit=1.847759065023
universal continuum lower limit=2.356194490192
rigorous state-norm liminf constant=0.075205379530

level sites       epsilon       Q_lattice    Q_cont_lower  state_lower     max|v|       c_delta       c-log(8/d)/(2pi)
    7   128  1.250000e-01   1.849071738   2.358755579   0.075353792 0.939450336   0.661416851   -4.899494428e-04
    8   256  6.250000e-02   1.848125177   2.357038459   0.075264772 0.969218945   0.772075004   -1.495966000e-04
    9   512  3.125000e-02   1.847849755   2.356401479   0.075219806 0.984491770   0.882498254   -4.414622645e-05
   10  1024  1.562500e-02   1.847781745   2.356246299   0.075208994 0.992216717   0.992847480   -1.272090983e-05
   11  2048  7.812500e-03   1.847764735   2.356207442   0.075206283 0.996100934   1.103174400   -3.601132136e-06
   12  4096  3.906250e-03   1.847760482   2.356197728   0.075205605 0.998048579   1.213494795   -1.005495693e-06
   13  8192  1.953125e-03   1.847759419   2.356195300   0.075205436 0.999023852   1.323813323   -2.776761168e-07
   14 16384  9.765625e-04   1.847759154   2.356194693   0.075205394 0.999511834   1.434131325   -7.599450846e-08

all analytic-consistency checks passed
